Id,MSZoning,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,Foundation,CentralAir,Electrical,SaleType,SaleCondition,PoolQC,LogSalePrice,SalePrice,test,MasVnrArea,OverallQual,OverallCond,YearRemodAdd,MSSubClass,LotFrontage,LotArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageYrBlt,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,bsmt_height,exterior_quality,exterior_condition,bsmt_condition,bsmt_exposure,bsmt_finished1,bsmt_finished2,BsmtFinishedShare,heating_quality,kitchen_quality,home_funct,fireplace_quality,fireplace_ttlscore,gar_qual,gar_cond,gar_perception,driveway,fence,full_baths,half_baths,average_quality,room_size,age,garage_perception
11,0,0,0,0,0,0,0,9,0,0,0,1,1,3,3,1,1,0,0,0,0,0,11.77143616,129500,0,0,5,5,1965,20,70,11200,906,0,134,1040,1040,0,0,1040,1,0,3,1,5,1965,384,0,0,0,0,0,0,0,2,2008,2,1,2,3,0,2,1,0.871153846,4,1,7,0,0,3,2,6,3,0,2,0,-0.403231732,208,43,1.5
12,0,0,0,1,0,0,0,10,0,0,0,0,1,5,2,2,0,0,0,1,2,0,12.7512997,345000.0014,0,286,9,5,2006,60,85,11924,998,0,177,1175,1182,1142,0,2324,3,0,4,1,11,2005,736,147,21,0,0,0,0,0,7,2006,4,3,2,3,0,4,1,0.849361702,4,3,7,3,6,3,2,6,3,0,4,0,1.993505116,211.2727273,1,3.833333333
13,0,0,0,2,0,0,0,9,0,0,0,1,1,3,4,1,1,0,0,0,0,0,11.87756858,144000.0002,0,0,5,6,1962,20,69.79,12968,737,0,175,912,912,0,0,912,1,0,2,1,4,1962,352,140,0,0,0,176,0,0,9,2008,2,1,2,3,0,3,1,0.808114035,2,1,7,0,0,3,2,6,3,0,2,0,-0.820199468,228,46,1.5
14,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,2,0,12.54075757,279499.9996,0,306,7,5,2007,20,91,10652,0,0,1494,1494,1494,0,0,1494,2,0,3,1,7,2006,840,160,33,0,0,0,0,0,8,2007,3,2,2,3,2,1,1,0,4,2,7,3,3,3,2,6,3,0,2,0,0.795136692,213.4285714,1,3.333333333
15,0,0,0,1,0,2,0,11,0,0,0,1,1,1,1,0,1,0,0,0,0,0,11.96400108,156999.9993,0,212,6,5,1960,20,69.79,10920,733,0,520,1253,1253,0,0,1253,1,1,2,1,5,1960,352,0,213,176,0,0,0,0,5,2008,2,1,2,3,0,2,1,0.58499601,2,1,7,1,1,3,2,6,3,1.5,2,1,-0.674839696,250.6,48,2
16,1,0,0,0,0,2,0,8,0,0,0,3,0,2,5,1,2,0,2,0,0,0,11.7905572,131999.9998,0,0,7,8,2001,45,51,6120,0,0,832,832,854,0,0,854,1,0,2,1,5,1991,576,48,112,0,0,0,0,0,7,2007,2,1,2,3,0,1,1,0,4,1,7,0,0,3,2,6,3,1.5,1,0,-0.112512187,170.8,78,2.166666667
17,0,0,0,1,0,3,0,11,0,0,0,1,0,2,5,0,1,0,0,0,0,0,11.91170158,148999.9993,0,180,6,7,1970,20,69.79,11241,578,0,426,1004,1004,0,0,1004,1,0,2,1,5,1970,480,0,0,0,0,0,0,700,3,2010,2,1,2,3,0,3,1,0.575697211,4,1,7,2,2,3,2,6,3,0,2,0,-0.25787196,200.8,40,3
18,0,0,0,0,0,0,0,9,0,0,2,1,0,1,1,1,4,0,0,0,0,0,11.40756495,90000.00006,0,0,4,5,1967,90,72,10791,0,0,0,0,1296,0,0,1296,2,0,2,2,6,1967,516,0,0,0,0,0,0,500,10,2006,0,1,2,0,0,0,0,0,2,1,7,0,0,3,2,6,3,0,2,0,-1.476302371,216,39,2
19,0,0,0,0,0,0,0,12,4,0,0,1,0,0,0,1,0,0,0,0,0,0,11.97665948,158999.9998,0,0,5,5,2004,20,66,13695,646,0,468,1114,1114,0,0,1114,1,1,3,1,6,2004,576,0,102,0,0,0,0,0,6,2008,2,1,2,3,0,4,1,0.57989228,4,2,7,0,0,3,2,6,3,0,2,1,-0.100976359,185.6666667,4,2.166666667
20,0,0,0,0,0,0,0,11,0,0,0,1,1,4,4,1,1,0,0,2,1,0,11.84222921,138999.9997,0,0,5,6,1965,20,70,7560,504,0,525,1029,1339,0,0,1339,1,0,3,1,6,1958,294,0,0,0,0,0,0,0,5,2009,2,1,2,3,0,1,1,0.489795918,2,1,5.5,0,0,3,2,6,3,0.5,1,0,-0.820199468,223.1666667,51,1.666666667
21,0,0,0,1,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,1,2,0,12.69250311,325299.9992,0,380,8,5,2006,60,101,14215,0,0,1158,1158,1158,1218,0,2376,3,1,4,1,9,2005,853,240,154,0,0,0,0,0,11,2006,4,2,2,3,2,1,1,0,4,2,7,3,3,3,2,6,3,0,3,1,1.19586803,264,1,3.5
22,1,0,1,0,1,0,0,13,0,0,0,3,0,2,5,1,0,0,1,0,0,0,11.84510278,139400.0004,0,0,7,7,1950,45,57,7449,0,0,637,637,1108,0,0,1108,1,0,3,1,6,1930,280,0,0,205,0,0,0,0,6,2007,2,1,2,3,0,1,1,0,4,2,7,3,3,3,2,6,0,1.5,1,0,0.189743186,184.6666667,77,1.666666667
23,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,12.34583459,230000.0005,0,281,8,5,2002,20,75,9742,0,0,1777,1777,1795,0,0,1795,2,0,3,1,7,2002,534,171,159,0,0,0,0,0,9,2008,3,2,2,3,0,1,1,0,4,2,7,3,3,3,2,6,3,0,2,0,0.940496465,256.4285714,6,2.666666667
24,1,0,0,0,0,0,0,14,0,0,3,1,0,6,6,1,0,0,0,0,0,0,11.7745202,129899.9997,0,0,5,7,1976,120,44,4224,840,0,200,1040,1060,0,0,1060,1,0,3,1,6,1976,572,100,110,0,0,0,0,0,6,2007,3,1,2,3,0,4,1,0.807692308,2,1,7,2,2,3,2,6,3,0,2,0,-0.564827903,176.6666667,31,2.333333333
25,0,0,0,1,0,0,0,9,0,0,0,1,0,7,4,1,1,0,0,0,0,0,11.94470788,153999.9998,0,0,5,8,2001,20,69.79,8246,188,668,204,1060,1060,0,0,1060,1,0,3,1,6,1968,270,406,90,0,0,0,0,0,5,2010,2,1,3,3,1,2,3,0.80754717,4,2,7,2,2,3,2,6,3,0.5,2,0,-0.100976359,176.6666667,42,1.666666667
26,0,0,0,0,0,2,0,10,0,0,0,1,0,0,0,2,0,0,0,0,0,0,12.45410391,256299.9994,0,640,8,5,2007,20,110,14230,0,0,1566,1566,1600,0,0,1600,2,0,3,1,7,2007,890,0,56,0,0,0,0,0,7,2009,3,2,2,3,0,1,1,0,4,2,7,3,3,3,2,6,3,0,2,0,0.940496465,228.5714286,2,3.333333333
27,0,0,0,0,0,2,0,11,0,0,0,1,0,2,5,1,1,0,0,0,0,0,11.81154748,134800.0003,0,0,5,7,2000,20,60,7200,234,486,180,900,900,0,0,900,1,0,3,1,5,2005,576,222,32,0,0,0,0,0,5,2010,2,1,2,3,1,2,2,0.8,2,2,7,0,0,3,2,6,3,0,1,1,-0.517944095,180,59,2.166666667
28,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,2,0,0,0,0,0,0,12.63134038,305999.9997,0,200,8,5,2008,20,98,11478,1218,0,486,1704,1704,0,0,1704,2,0,3,1,7,2008,772,0,50,0,0,0,0,0,5,2010,4,2,2,3,0,4,1,0.714788732,4,2,7,3,3,3,2,6,3,0,3,0,1.19586803,243.4285714,3,3.333333333
29,0,0,0,1,0,3,0,11,0,0,0,1,0,1,1,1,1,0,0,0,0,0,12.24288662,207500.0003,0,0,5,6,1997,20,47,16321,1277,0,207,1484,1600,0,0,1600,1,0,2,1,6,1957,319,288,258,0,0,0,0,0,12,2006,2,1,2,3,3,2,1,0.860512129,2,1,7,3,6,3,2,6,3,0,2,0,-0.820199468,266.6666667,49,2
30,1,0,0,1,0,0,0,8,1,2,0,1,0,1,1,1,2,1,0,0,0,0,11.13458902,68499.99971,0,0,4,6,1950,30,60,6324,0,0,520,520,520,0,0,520,1,0,1,1,4,1920,240,49,0,87,0,0,0,0,5,2008,2,1,2,3,0,1,1,0,1,0,7,0,0,2,2,4,3,0,1,0,-1.476298482,130,81,1.5
31,2,0,2,0,0,0,0,13,1,0,0,0,2,4,7,1,2,1,0,0,0,0,10.59663473,39999.99988,0,0,4,4,1950,70,50,8500,0,0,649,649,649,668,0,1317,1,0,3,1,6,1920,250,0,54,172,0,0,0,0,7,2008,2,1,1,3,0,1,1,0,2,1,7,0,0,3,1.5,4.5,0,0.5,1,0,-0.96555924,219.5,88,1.5
32,0,0,0,1,0,3,0,9,0,0,0,1,0,3,3,1,1,0,0,0,0,0,11.91404782,149349.9995,0,0,5,6,2006,20,69.79,8544,0,0,1228,1228,1228,0,0,1228,1,1,3,1,6,1966,271,0,65,0,0,0,0,0,6,2008,2,1,2,3,0,1,1,0,3,2,7,0,0,3,2,6,3,0.5,1,1,-0.309460227,204.6666667,42,1.666666667
33,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,12.10015642,179900,0,0,8,5,2007,20,85,11049,0,0,1234,1234,1234,0,0,1234,2,0,3,1,7,2007,484,0,30,0,0,0,0,0,1,2008,4,2,2,3,2,1,1,0,4,2,7,0,0,3,2,6,3,0,2,0,1.19586803,176.2857143,1,2.666666667
34,0,0,0,1,0,0,0,11,0,0,0,1,1,4,7,1,1,0,0,0,0,0,12.01672647,165499.9994,0,0,5,5,1959,20,70,10552,1018,0,380,1398,1700,0,0,1700,1,1,4,1,6,1959,447,0,38,0,0,0,0,0,4,2010,2,1,2,3,0,2,1,0.728183119,3,2,7,3,3,3,2,6,3,0,1,2,-0.309460227,283.3333333,51,2.666666667
35,0,0,0,0,0,0,0,10,0,0,3,1,1,1,1,0,0,0,0,0,0,0,12.53357621,277499.9994,0,246,9,5,2005,120,60,7313,1153,0,408,1561,1561,0,0,1561,2,0,2,1,6,2005,556,203,47,0,0,0,0,0,8,2007,4,3,2,3,0,4,1,0.738629084,4,3,7,3,3,3,2,6,3,0,3,0,1.993505116,260.1666667,2,3
36,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12.64109656,309000.0013,0,132,8,5,2005,60,108,13418,0,0,1117,1117,1132,1320,0,2452,3,1,4,1,9,2004,691,113,32,0,0,0,0,0,9,2006,4,2,2,3,2,1,1,0,4,2,7,3,3,3,2,6,3,0,3,1,1.19586803,272.4444444,2,3.833333333
37,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,11.88448902,144999.9998,0,0,5,5,1995,20,112,10859,0,0,1097,1097,1097,0,0,1097,1,1,3,1,6,1995,672,392,64,0,0,0,0,0,6,2009,3,1,2,3,0,1,1,0,4,1,7,0,0,3,2,6,3,0,1,1,-0.147860167,182.8333333,15,2.333333333
38,0,0,0,0,0,0,0,11,0,0,0,1,1,2,5,0,1,0,0,0,0,0,11.9381932,152999.9999,0,650,5,6,1990,20,74,8532,1213,0,84,1297,1297,0,0,1297,1,0,3,1,5,1954,498,0,0,0,0,0,0,0,10,2009,2,1,2,3,0,2,1,0.935235158,3,1,7,2,2,3,2,6,3,0,1,1,-0.6117156,259.4,55,3
39,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,1,1,0,0,0,1,0,11.59910316,108999.9999,0,0,5,7,2007,20,68,7922,731,0,326,1057,1057,0,0,1057,1,0,3,1,5,1953,246,0,52,0,0,0,0,0,1,2010,2,1,3,3,0,4,1,0.691579943,2,2,7,0,0,3,2,6,3,0,2,0,-0.517944095,211.4,57,1.5
40,0,0,0,0,0,0,0,15,0,0,2,1,0,8,4,1,0,1,3,0,3,0,11.31447453,82000.00031,0,0,4,5,1955,90,65,6040,0,0,0,0,1152,0,0,1152,2,0,2,2,6,1978,0,0,0,0,0,0,0,0,6,2008,0,1,2,0,0,0,0,0,2,0,7,0,0,3,2,6,0,0,2,0,-1.778557744,192,53,0
41,0,0,0,0,0,0,0,11,0,0,0,1,0,2,5,0,1,0,0,0,1,0,11.98292909,159999.9993,0,101,6,5,1965,20,84,8658,643,0,445,1088,1324,0,0,1324,2,0,3,1,6,1965,440,0,138,0,0,0,0,0,12,2006,2,1,2,3,0,2,1,0.590992647,4,1,7,2,2,3,2,6,3,1.5,2,0,-0.25787196,220.6666667,41,2.666666667
42,0,0,0,0,0,0,0,16,0,0,0,1,0,0,0,1,1,0,0,0,0,0,12.04355372,170000.0007,0,0,5,6,1959,20,115,16905,967,0,383,1350,1328,0,0,1328,1,1,2,1,5,1959,308,0,104,0,0,0,0,0,7,2007,2,1,3,3,3,2,1,0.716296296,3,1,7,3,6,3,2,6,2,0,1,2,-0.6117156,265.6,48,2
43,0,0,0,1,0,3,0,12,0,0,0,4,0,3,3,1,1,0,0,0,0,0,11.87756858,144000.0002,0,0,5,7,1983,85,69.79,9180,747,93,0,840,884,0,0,884,1,0,2,1,5,1983,504,240,0,0,0,0,0,0,12,2007,3,1,2,3,2,3,1,1,3,2,7,0,0,3,2.5,7.5,3,0.5,2,0,-0.054088662,176.8,24,2.666666667
44,0,0,0,1,0,3,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,11.77721096,130250.0001,0,0,5,6,1980,20,69.79,9200,280,491,167,938,938,0,0,938,1,0,3,1,5,1977,308,145,0,0,0,0,0,0,7,2008,3,1,2,3,2,1,2,0.82196162,2,1,7,0,0,3,2,6,3,0.5,2,0,-0.564827903,187.6,33,1.5
45,0,0,0,0,0,0,0,11,0,0,0,1,0,4,5,1,1,0,2,0,0,0,11.85651517,141000.0001,0,0,5,6,1959,20,70,7945,179,506,465,1150,1150,0,0,1150,1,0,3,1,6,1959,300,0,0,0,0,0,0,0,5,2006,2,1,2,3,0,3,2,0.595652174,4,1,7,0,0,3,2,6,3,0,2,0,-0.403231732,191.6666667,47,2
46,0,0,0,0,0,0,0,10,0,0,3,1,1,1,1,0,0,0,0,0,0,0,12.67576373,319900.0013,0,412,9,5,2005,120,61,7658,456,0,1296,1752,1752,0,0,1752,2,0,2,1,6,2005,576,196,82,0,0,0,0,0,2,2010,4,3,2,3,0,4,1,0.260273973,4,3,7,3,3,3,2,6,3,0,3,0,1.993505116,292,5,2.666666667
47,0,0,0,1,0,3,0,4,0,0,0,2,0,0,0,1,0,0,0,0,1,0,12.38708501,239685.9994,0,0,7,5,2003,50,48,12822,1351,0,83,1434,1518,631,0,2149,1,1,1,1,6,2003,670,168,43,0,0,198,0,0,8,2009,4,2,2,3,0,4,1,0.942119944,4,2,7,3.5,3.5,3,2,6,3,0,2,1,1.050508257,358.1666667,6,2.666666667
48,3,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,12.42801548,249700.0009,0,0,8,5,2006,20,84,11096,24,0,1632,1656,1656,0,0,1656,2,0,3,1,7,2006,826,0,146,0,0,0,0,0,7,2007,3,2,2,3,2,4,1,0.014492754,4,2,7,0,0,3,2,6,3,0,2,0,0.940496465,236.5714286,1,3.333333333
49,1,0,0,0,0,0,0,7,0,0,1,0,0,1,1,1,2,0,0,1,2,0,11.6351431,113000.0003,0,0,4,5,2008,190,33,4456,0,0,736,736,736,716,0,1452,2,0,2,3,8,1978,0,0,0,102,0,0,0,0,6,2009,2,1,2,3,0,1,1,0,3,1,7,0,0,3,2,6,0,0,2,0,-0.757075372,181.5,89,0
50,0,0,0,0,0,0,0,9,0,0,0,1,0,3,3,1,1,0,0,0,0,0,11.75194237,127000.0006,0,0,5,7,1966,20,66,7742,763,0,192,955,955,0,0,955,1,0,3,1,6,1966,386,0,0,0,0,0,0,0,1,2007,2,1,2,3,0,2,1,0.79895288,4,1,7,0,0,3,2,6,3,0.5,2,0,-0.403231732,159.1666667,41,1.666666667
51,0,0,0,2,0,2,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.08390501,176999.9997,0,0,6,6,1997,60,69.79,13869,182,0,612,794,794,676,0,1470,2,0,3,1,6,1997,388,0,75,0,0,0,0,0,7,2007,3,1,2,3,2,4,1,0.229219144,3,1,7,0,0,3,2,6,3,0,2,1,-0.210984263,245,10,3
52,1,0,0,0,0,0,0,8,0,0,0,2,0,2,5,1,0,0,0,0,0,0,11.6483301,114499.9998,0,0,6,6,1950,50,52,6240,0,0,816,816,816,0,360,1176,1,0,3,1,6,1985,528,112,0,0,0,0,0,400,9,2006,2,1,2,3,0,1,1,0,2,1,7,3,3,3,2,6,3,0.5,1,0,-0.674839696,196,72,2.166666667
53,1,1,0,2,1,2,1,13,5,0,2,1,0,2,5,1,1,1,0,0,0,0,11.60823564,109999.9995,0,0,5,5,1963,90,110,8472,104,712,0,816,816,0,0,816,1,0,2,1,5,1963,516,106,0,0,0,0,0,0,5,2010,3,0,2,3,3,1,4,1,2,1,7,0,0,3,2,6,3,0,2,0,-0.914849844,163.2,47,2
54,0,0,0,1,2,0,0,1,0,0,0,1,0,5,2,1,1,0,0,0,0,0,12.86099861,384999.9987,0,0,9,5,1987,20,68,50271,1810,0,32,1842,1842,0,0,1842,0,1,0,1,5,1981,894,857,72,0,0,0,0,0,11,2006,4,2,2,3,3,4,1,0.982627579,3,2,7,3,3,3,2,6,3,0,2,1,1.132743934,368.4,25,3.666666667
55,0,0,0,0,1,0,1,11,0,0,0,5,0,1,1,1,1,0,0,0,0,0,11.77528973,130000.0001,0,0,5,5,1955,80,60,7134,384,0,0,384,1360,0,0,1360,1,0,3,1,6,1962,572,0,50,0,0,0,0,0,2,2007,2,1,2,3,0,3,1,1,2,1,5.5,2,2,3,2,6,3,0.5,1,0,-0.820199468,226.6666667,52,2.166666667
56,0,0,0,1,0,0,0,11,0,0,0,1,0,3,4,0,1,0,0,0,0,0,12.10348606,180500.0006,0,272,6,5,1964,20,100,10175,490,0,935,1425,1425,0,0,1425,2,0,3,1,7,1964,576,0,0,0,407,0,0,0,7,2008,2,1,2,3,0,2,1,0.343859649,3,1,7,3,3,3,2,6,3,0,2,0,-0.466355828,203.5714286,44,2.666666667
57,3,0,2,0,0,0,0,5,0,0,4,0,0,1,1,0,0,0,0,0,1,0,12.05815252,172500.0008,0,456,8,5,2000,160,24,2645,649,0,321,970,983,756,0,1739,2,1,3,1,7,1999,480,115,0,0,0,0,0,0,8,2009,3,2,2,3,0,4,1,0.669072165,4,2,7,0,0,3,2,6,3,0,3,1,0.940496465,248.4285714,10,3
58,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.18841771,196499.9999,0,0,7,5,2004,60,89,11645,0,0,860,860,860,860,0,1720,2,1,3,1,7,2004,565,0,70,0,0,0,0,0,8,2006,3,2,2,3,0,1,1,0,4,2,7,0,0,3,2,6,3,0,2,1,0.795136692,245.7142857,2,2.666666667
59,0,0,0,2,3,3,0,18,0,0,0,0,1,0,0,0,0,0,0,1,2,0,12.99175343,438780.0011,0,1031,10,5,2006,60,66,13682,0,0,1410,1410,1426,1519,0,2945,3,1,3,1,10,2006,641,192,0,37,0,0,0,0,10,2006,4,3,2,3,3,1,1,0,4,2,7,3,3,3,2,6,3,0,3,1,1.836609515,294.5,0,3.833333333
60,0,0,0,0,1,0,0,0,0,0,0,1,0,3,3,1,1,0,0,0,0,0,11.7352687,124900.0005,0,0,5,7,1972,20,60,7200,632,0,148,780,780,0,0,780,1,0,2,1,4,1973,352,196,0,0,0,0,0,0,1,2008,2,1,2,3,2,3,1,0.81025641,4,1,7,0,0,3,2,6,3,0.5,1,0,-0.403231732,195,36,1.5
61,0,0,0,0,0,0,0,12,4,0,0,1,0,0,0,1,0,0,0,1,2,0,11.97035031,157999.9997,0,0,6,5,2004,20,63,13072,941,0,217,1158,1158,0,0,1158,1,1,3,1,5,2006,576,0,50,0,0,0,0,0,5,2006,3,1,2,3,0,3,1,0.812607945,4,2,7,0,0,3,2,6,3,0,2,1,0.299754979,231.6,2,2.166666667
62,1,0,0,0,0,0,0,13,0,0,0,6,0,1,1,1,2,1,0,0,0,0,11.5228758,101000.0004,0,0,5,7,1996,75,60,7200,0,0,530,530,581,530,0,1111,1,0,3,1,6,1935,288,0,0,144,0,0,0,0,3,2007,2,1,2,2,0,1,1,0,2,0,7,0,0,3,2,6,0,0,1,0,-1.122454841,185.1666667,87,1.5
63,0,0,0,1,0,0,0,10,0,0,3,1,0,0,0,2,0,0,0,0,0,0,12.21849517,202500.0009,0,178,8,5,2006,120,44,6442,24,0,1346,1370,1370,0,0,1370,2,0,2,1,6,2006,484,120,49,0,0,0,0,0,10,2007,3,2,2,4,1,4,1,0.017518248,4,2,7,3,3,3,2,6,3,0,2,0,0.940496465,228.3333333,1,2.666666667
64,1,0,0,1,1,0,0,7,6,3,0,0,0,9,8,1,2,0,0,0,0,0,11.8493977,139999.9998,0,0,7,6,1950,70,50,10300,0,0,576,576,902,808,0,1710,2,0,3,1,9,1990,480,12,11,64,0,0,0,0,4,2010,2,1,2,3,0,1,1,0,3,1,7,0,0,3,2,6,3,1.5,2,0,-0.320996055,190,89,2.166666667
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.29910751,219499.9997,0,573,7,5,1998,60,69.79,9375,739,0,318,1057,1057,977,0,2034,2,1,3,1,8,1998,645,576,36,0,0,0,0,0,2,2009,3,1,2,3,0,4,1,0.699148534,4,2,7,0,0,3,2,6,3,1.5,3,1,0.445114751,254.25,12,2.666666667
66,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.66665705,316999.9991,0,344,8,5,2005,60,76,9591,0,0,1143,1143,1143,1330,0,2473,2,1,4,1,9,2004,852,192,151,0,0,0,0,0,10,2007,4,2,2,3,2,1,1,0,4,2,7,3,3,3,2,6,3,0,2,1,1.19586803,274.7777778,3,3.5
67,0,0,0,0,0,0,0,11,7,0,0,1,0,7,4,0,1,0,0,0,0,0,12.10071213,180000,0,287,7,5,1989,20,69.79,19900,912,0,1035,1947,2207,0,0,2207,2,0,3,1,7,1970,576,301,0,0,0,0,0,0,7,2010,3,1,2,3,3,4,1,0.468412943,2,1,5.5,3,3,3,2,6,3,0,3,0,-0.274108358,315.2857143,40,2.666666667
