ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,PAY_AMT1,BILL_AMT2,PAY_AMT2,BILL_AMT3,PAY_AMT3,BILL_AMT4,PAY_AMT4,BILL_AMT5,PAY_AMT5,BILL_AMT6,PAY_AMT6,default.payment.next.month
69,130000,2,3,2,29,1,-2,-2,-1,2,-1,-190,0,-9850,0,-9850,20161,10311,0,10161,7319,7319,13899,0
70,20000,1,5,2,22,2,0,0,0,0,0,18565,0,17204,1200,17285,1000,18085,500,11205,1000,5982,0,0
71,80000,1,1,2,31,-1,-1,-1,-1,-1,-1,780,0,0,390,390,390,390,390,390,390,390,390,0
72,320000,1,2,2,29,2,2,2,2,2,2,58267,2500,59246,2500,60184,0,58622,4800,62307,2400,63526,1600,1
73,2.00E+05,2,2,1,32,-1,-1,-1,-1,2,-1,9076,5818,5787,15,-684,9102,5247,17,3848,3165,3151,1395,0
74,290000,2,1,2,37,1,-2,-1,-1,-1,-1,0,0,0,3155,3155,0,0,2359,2359,0,0,0,0
75,340000,1,1,2,32,-1,-1,-1,-1,-1,-1,3048,5713,5550,23453,23337,4314,4291,80552,80153,25949,25820,2016,0
76,20000,1,2,2,24,0,0,2,0,0,0,14619,2850,17216,0,16642,610,16976,630,17332,1500,18543,0,0
77,50000,1,3,2,25,-1,0,0,0,0,0,42838,1759,37225,1779,36087,320,9636,500,9590,1000,10030,1000,0
78,3.00E+05,2,1,1,45,-1,-1,-1,-1,-1,-1,291,291,291,291,291,291,291,291,291,291,291,291,0
79,30000,2,2,2,22,0,0,0,0,0,0,28387,1686,29612,1400,30326,560,28004,3000,26446,1765,6411,0,1
80,240000,2,2,2,44,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
81,470000,2,3,3,33,0,0,0,0,0,0,165254,6400,157784,7566,162702,3000,69923,960,29271,1000,29889,3000,0
82,360000,2,1,2,26,0,0,0,0,0,-1,23411,4796,27796,3400,30400,3100,33100,146900,180000,196,196,2963,0
83,60000,1,3,2,30,0,0,0,0,0,0,26324,1576,27471,1213,28108,648,21993,768,19899,1140,19771,0,1
84,4.00E+05,2,2,1,44,0,0,2,0,0,0,131595,10700,139060,3,126819,3050,104430,3000,104990,3200,94058,2800,0
85,50000,2,3,2,49,0,0,0,0,0,0,48909,1676,47863,1302,21489,700,20414,699,19342,849,19482,826,0
86,160000,1,2,2,33,0,0,0,0,0,0,130028,4400,107808,3547,71934,80000,118418,4500,118407,4800,120418,4500,0
87,360000,2,1,1,45,-1,-1,2,0,-1,-1,390,1170,1170,0,780,0,390,390,390,390,390,390,1
88,160000,2,2,2,32,0,0,0,0,0,-1,3826,1147,4751,2000,6604,2000,8604,0,7072,766,766,2303,0
89,130000,2,1,1,35,0,0,0,-1,-1,-1,81313,40000,117866,5000,17740,1330,1330,7095,7095,1190,1190,2090,0
90,20000,1,3,2,44,2,2,0,0,0,2,8583,0,8303,1651,9651,1000,10488,2000,12314,0,11970,1500,0
91,2.00E+05,1,1,1,53,2,2,2,2,2,2,138180,6300,140774,5500,142460,5500,144098,5500,147124,5000,149531,5000,1
92,280000,2,1,2,39,-1,-1,-1,0,0,-2,7524,0,0,3968,3968,0,3868,0,0,0,0,0,0
93,1.00E+05,2,1,2,27,-2,-2,-2,-2,-2,-2,-2000,7555,5555,0,0,0,0,0,0,0,0,0,0
94,160000,2,2,1,37,-1,-1,-1,-1,-1,-2,880,1602,1602,840,840,840,840,0,0,0,0,7736,0
95,60000,2,2,2,23,0,0,0,0,0,0,45648,1937,46850,1301,47214,682,19595,690,19209,816,19323,835,0
96,90000,1,2,2,35,0,0,0,0,0,0,83725,3621,85996,3597,87653,1179,35565,1112,30942,1104,30835,1143,0
97,360000,1,1,1,43,-1,-1,-1,-1,-1,0,3967,8339,8322,3394,3394,12902,6451,27000,26370,0,9956,68978,0
98,150000,1,1,2,27,0,0,0,0,0,0,86009,4031,86108,10006,89006,3266,89775,4040,87725,1698,40788,800,0
99,50000,2,3,1,22,0,0,0,0,0,0,18722,1411,18160,1194,16997,379,13150,281,8866,321,7899,197,0
100,20000,1,2,1,38,0,0,0,0,0,-1,17973,1699,19367,1460,19559,626,18240,1750,17928,150,150,0,1
101,140000,1,1,2,32,-2,-2,-2,-2,-2,-2,672,10212,10212,850,850,415,415,100,100,1430,1430,0,0
102,380000,2,1,2,30,-2,-2,-1,0,0,0,-81,223,-303,33178,32475,1171,32891,1197,33564,1250,34056,5000,0
103,480000,1,1,1,63,0,0,0,2,2,0,422069,16078,431342,55693,479432,17000,487066,0,471145,18000,469961,24200,0
104,50000,2,3,2,22,0,0,0,0,0,0,44698,1767,42254,1362,38347,1002,32496,840,23477,995,24094,904,1
105,60000,2,2,2,26,2,2,2,2,2,0,56685,0,55208,5000,59175,2511,60218,6,55447,3000,55305,3000,0
106,70000,2,2,2,24,-1,-1,-2,-2,-2,-1,5580,0,0,0,0,0,0,0,0,26529,26529,2000,0
107,80000,2,2,1,36,-1,-1,-1,-1,-1,-1,6108,2861,2861,3279,3277,3319,3319,1150,1150,1150,1150,1035,0
108,350000,1,1,2,52,-1,-1,-1,-1,-1,-1,713,2272,2272,722,722,867,867,1150,1150,5263,5263,5011,0
109,130000,1,2,2,38,0,0,0,-1,-1,-1,171438,10908,178382,0,39940,133657,120483,4566,44127,133841,126568,4796,0
110,360000,1,2,1,35,1,-2,-2,-2,-2,-2,-103,0,-103,0,-103,0,-103,0,-103,0,-103,0,0
111,330000,2,1,1,31,0,0,2,0,0,0,105879,9260,108431,0,105594,3593,105896,4100,106491,15794,107289,0,0
112,50000,1,3,1,47,0,0,2,0,0,0,13244,2000,14722,1000,15181,1000,15928,1000,16671,1000,17393,1000,0
113,280000,1,2,1,41,2,2,2,2,2,3,135673,6500,138532,0,134813,14254,144401,14850,152174,0,149415,5000,0
114,1.00E+05,2,1,2,24,0,0,0,0,0,0,52128,2000,52692,2677,54477,3076,56076,5080,60100,3000,59713,2033,0
115,50000,1,2,2,41,0,0,0,0,0,0,19015,1340,19294,1305,20259,700,20274,718,20311,724,19957,684,0
116,30000,1,1,2,24,-1,2,0,0,3,2,18199,0,17618,1312,18631,3000,21319,0,20692,1000,21201,1000,1
117,240000,1,1,2,28,-1,-1,-1,-1,-1,-1,326,326,326,326,326,5676,5676,476,476,326,326,526,0
118,80000,1,2,2,26,2,0,0,0,0,0,14029,2000,15493,1700,16630,1000,17055,1000,17629,1000,18186,1000,1
119,4.00E+05,1,2,1,34,-1,-1,-1,-1,-1,-1,19660,9677,9666,11867,11867,7839,7839,14837,14837,7959,7959,5712,0
120,240000,2,2,2,38,0,0,0,0,-1,-1,50254,2000,51445,3000,53015,3000,52479,1307,1307,1203,1203,563,0
121,50000,1,3,2,37,2,2,2,3,2,2,46004,1000,45976,4035,48953,1000,48851,1400,49318,2800,51143,0,1
122,450000,1,1,1,40,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
123,110000,2,1,1,48,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
124,310000,2,2,1,35,2,0,0,0,0,0,304991,13019,311243,11128,306314,8407,258610,8599,246491,6833,198889,5987,1
125,20000,1,1,2,27,0,0,0,0,0,0,19115,1404,18962,1130,19298,600,19378,861,19717,313,15630,0,0
126,20000,1,2,2,23,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
127,2.00E+05,1,3,2,52,0,0,0,0,0,0,110151,3568,99530,3585,98951,3602,100914,3848,103146,3669,104993,3784,0
128,180000,1,1,1,36,0,0,0,0,0,0,163736,4655,116422,2690,99278,2067,95766,2142,97753,2217,95927,1000,1
129,50000,1,2,1,51,0,0,0,0,0,0,3347,1000,3899,1066,4503,1300,5347,1500,6375,1200,7077,134,1
130,60000,1,3,1,55,3,2,2,0,0,0,60521,2504,61450,7,57244,1200,28853,1200,29510,1100,26547,1500,0
131,30000,2,1,2,23,1,-2,-2,-2,-1,-1,4000,5645,5645,3508,3508,27,-27,13771,13744,5911,5906,3024,0
132,240000,1,1,2,41,1,-1,-1,0,0,-1,95,2622,2622,3301,3301,0,3164,360,360,1737,1737,924,0
133,420000,1,2,1,34,0,0,0,0,0,0,253454,9744,247743,9553,229049,7603,220951,7830,210606,7253,188108,11326,0
134,330000,1,3,1,46,0,0,0,0,0,0,227389,8210,228719,8095,229644,8025,227587,8175,227775,8391,228203,8200,0
135,30000,2,2,2,22,0,0,0,0,0,0,28452,2000,26145,1400,26712,0,25350,500,17603,0,-780,1560,0
136,240000,1,2,1,34,0,0,0,2,2,2,10674,1500,12035,1800,13681,0,13269,1000,14158,0,13891,327,0
137,150000,1,1,2,27,0,0,0,0,0,0,17444,2500,19342,3000,22000,3000,24614,3000,27200,3500,30229,5000,0
138,210000,2,2,1,33,0,0,0,0,0,0,7166,1500,7997,1500,8792,1000,9189,500,4404,2000,5708,546,0
139,50000,2,3,1,51,-1,-1,-1,-1,-2,-2,752,300,300,5880,5880,0,0,0,0,0,0,0,1
140,50000,1,1,2,24,0,0,0,0,0,0,50801,2360,50143,1700,49586,1000,19430,900,19375,870,18995,2130,0
141,240000,1,1,2,47,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
142,180000,1,2,2,28,-1,-1,-1,-1,-1,-1,1832,0,0,416,832,332,332,500,416,3500,416,832,0
143,50000,1,2,2,23,1,2,2,2,0,0,10131,1000,10833,10000,20583,400,19996,700,19879,800,18065,600,0
144,170000,1,2,2,29,-2,-2,-2,-2,-2,-2,12159,10000,10000,10000,10000,10000,10000,9983,9983,15863,15846,10000,0
145,20000,1,1,2,29,-1,-1,-1,-1,0,-1,1199,15586,15586,344,344,2340,2340,4702,6702,339,339,330,0
146,50000,1,1,2,28,0,0,0,0,0,3,4999,1000,5913,1500,7315,2000,9195,1583,10624,1100,10138,0,0
147,170000,2,2,2,27,0,0,0,0,0,0,19269,1661,20313,1200,20852,351,17560,358,17918,182,9100,0,1
148,2.00E+05,1,1,2,34,1,2,0,0,0,0,197236,8000,176192,5000,93069,55500,135668,5000,132233,5000,59875,8500,0
149,80000,2,2,1,23,1,2,3,2,0,0,9168,1650,10522,0,10205,0,9898,379,10123,2091,12034,1,0
150,260000,2,1,1,60,1,-2,-1,-1,-1,-1,-1100,0,-1100,22500,21400,0,0,969,969,1000,869,0,0
151,140000,1,2,1,32,0,0,0,0,2,0,86627,3455,78142,3110,68336,5000,64648,0,58319,2100,55251,2602,0
152,80000,1,1,2,25,0,0,0,0,0,0,42444,30000,55744,3000,43476,6000,41087,8000,41951,2000,31826,14000,0
153,350000,1,1,2,41,1,-1,-1,-1,-1,-2,208,2906,2906,1000,1000,630,630,0,0,0,0,0,0
154,280000,2,2,1,56,0,0,0,0,0,0,208775,8042,182350,6700,132257,5137,101783,1.00E+05,177145,7000,169311,6321,0
155,30000,2,3,2,26,0,0,0,0,0,0,9014,1700,10406,1500,11427,1000,11935,1500,13084,1500,14206,1500,0
156,140000,1,1,1,34,0,0,0,0,0,0,23944,5000,28049,5000,32073,11885,43129,5000,47086,3000,48699,5504,0
157,2.00E+05,2,1,2,37,0,0,0,0,0,0,105420,4000,102870,3250,89643,3250,90938,3500,92505,3560,94031,5000,0
158,2.00E+05,2,3,2,30,0,0,0,0,0,0,196031,7300,196143,7108,189524,7680,167163,6200,146975,5000,122324,4500,0
159,210000,1,3,1,45,2,3,4,4,5,6,115785,10478,122904,10478,129847,11078,137277,11078,145533,11678,154105,10478,1
160,50000,1,3,1,57,3,2,0,0,0,0,12854,0,12362,1600,13447,500,13427,500,13711,600,14083,600,0
161,30000,1,1,2,41,2,2,2,2,2,0,24357,3500,27453,0,26718,2200,28168,0,27579,1200,28321,1250,0
162,50000,1,2,2,27,2,-1,-1,-1,-1,2,390,390,390,780,780,216,216,864,1080,0,540,390,0
163,290000,1,3,1,47,-1,-1,-1,-1,0,-1,1234,396,396,396,396,792,792,0,396,423,423,369,0
164,250000,2,1,1,34,0,0,2,0,0,0,141223,17994,156858,0,151841,5469,152803,5656,155997,6811,160220,3920,0
165,60000,2,2,1,46,0,0,0,0,0,0,21148,3000,23803,1500,24908,1500,26034,1000,26655,1500,27756,1500,0
166,110000,2,1,2,27,0,0,0,0,0,0,101640,5500,104795,3900,104855,3000,74737,2900,76058,3000,77254,2800,0
167,370000,1,1,2,50,-2,-2,-2,-2,-2,-2,6093,15383,15130,8204,8204,15413,15398,4792,4792,13453,13453,4699,0
168,1.00E+05,1,2,1,27,-1,2,2,0,0,0,102349,3166,96847,0,58824,1330,29336,1398,22979,12,-246,50000,0
169,90000,2,2,1,35,0,0,0,0,0,2,72112,3500,73854,3500,75526,3652,77317,10000,85852,4000,88290,0,0
170,50000,2,2,2,22,0,0,0,0,0,0,28040,1510,29092,1442,29366,982,27737,1017,28318,1277,28806,567,0
171,270000,1,2,2,37,0,0,0,0,0,0,37695,5000,33397,2000,30534,3000,27598,4000,26344,3000,24641,2000,0
172,3.00E+05,2,1,2,30,-1,-1,-1,-1,-1,-1,688,3288,3280,0,0,4340,4340,2672,2672,800,800,746,0
173,50000,2,2,2,22,-1,0,0,0,0,0,8567,15000,15273,1000,11650,149,7457,0,3115,5000,7725,10000,0
174,50000,2,1,2,24,1,-2,-2,-2,-2,-2,-709,0,-709,0,-709,0,-2898,0,-3272,0,-3272,0,1
175,360000,1,1,2,29,1,-2,-1,-1,-2,-2,0,0,0,77,77,0,0,0,0,0,0,0,0
176,130000,1,3,1,56,1,2,2,2,2,3,64617,3000,65978,3000,67282,3000,68557,5500,72796,0,71345,0,1
177,80000,1,1,2,30,-2,-1,0,0,0,0,6187,504,100,500,600,1000,1438,500,1919,3500,5380,0,0
178,50000,1,2,2,30,1,2,0,0,0,2,48860,0,47801,1500,48363,1000,30221,2000,22877,0,22361,2000,0
179,20000,2,2,2,22,0,0,0,0,0,0,16001,1212,12622,1201,13221,500,13130,1500,14034,1500,14906,1000,0
180,80000,2,2,1,29,0,0,2,0,0,0,77883,5800,81811,1000,80250,600,61467,400,10662,1000,11486,0,0
181,240000,1,1,2,37,-1,-1,2,0,0,-1,12212,15000,26578,0,25331,2000,26605,0,26279,1256,1256,65935,0
182,80000,2,3,2,35,0,-1,0,0,0,0,49608,12500,12412,6500,14873,3000,17364,2000,17770,3000,17460,2000,0
183,5.00E+05,2,1,1,47,0,0,0,0,0,0,56422,70010,110616,30357,110340,30000,122967,20000,108834,52183,70064,20000,0
184,60000,2,2,1,24,0,0,0,0,0,0,58024,2500,57891,1600,48839,3000,18971,1000,19323,737,19395,2000,1
185,20000,1,2,2,25,0,0,0,0,0,-1,10642,1200,11677,1593,13070,601,12280,135,1615,1824,1620,0,0
186,1.00E+05,2,2,1,38,1,2,0,0,2,0,14483,0,13961,1600,15323,1500,16268,0,15868,1000,16448,1500,1
187,360000,2,1,2,32,1,-1,-1,-1,-1,-1,2616,57087,57077,5295,5287,68454,68445,13889,13881,16250,16240,38313,0
188,2.00E+05,2,3,2,47,2,2,2,2,2,2,199436,8214,202947,7000,193936,6800,196186,7134,200162,0,189915,6836,1
189,130000,2,2,1,34,1,-1,0,0,0,0,0,5396,5396,5000,10270,3500,13576,501,13864,1000,14636,2000,0
190,20000,2,2,2,31,1,5,4,4,3,2,21703,0,21087,1000,21461,0,20835,0,20219,760,20487,0,0
191,310000,1,1,2,32,0,0,0,0,0,0,59901,10020,62147,6031,62102,10057,65875,5028,60387,5060,43328,4223,0
192,60000,2,1,2,27,2,0,0,0,2,0,19625,1342,20347,1664,21669,2000,23005,0,22499,900,22873,846,1
193,180000,2,1,2,29,-1,-1,-1,-2,-1,0,11386,199,199,0,0,0,0,17227,17227,341,17042,5114,0
194,180000,2,1,2,24,-1,-1,2,0,0,-2,14670,37867,22087,0,21282,200,10200,0,0,0,0,0,0
195,50000,1,2,1,36,0,0,0,0,-1,-1,47790,2000,18114,1000,18250,2000,-14,500,72,1000,658,20011,0
196,50000,2,1,2,24,1,2,2,2,2,2,36166,1900,37188,1400,37680,1700,38462,1532,39228,1600,40035,0,1
197,150000,2,2,1,34,-2,-2,-2,-2,-2,-2,0,0,0,0,0,116,116,0,0,1500,1500,0,0
198,20000,2,1,2,22,0,0,0,0,-1,0,18553,1500,19446,1032,19065,541,8332,20000,18868,693,19247,1000,0
199,5.00E+05,2,1,1,34,-2,-2,-2,-1,-1,-1,412,138,138,2299,2299,1251,1251,1206,1206,1151,1151,15816,0
200,30000,2,3,2,22,1,2,2,0,0,0,29010,1000,29256,85,28122,1714,29836,104,1630,0,0,0,1
201,180000,2,1,1,38,-2,-2,-2,-2,-2,-2,750,0,0,0,0,0,0,0,0,0,0,0,0
202,140000,1,1,2,31,0,0,2,0,0,2,27123,25000,27299,0,17985,3000,20225,7800,27407,0,10833,2500,0
203,140000,2,1,2,26,-1,0,-1,-1,-1,-1,13424,10000,18000,13001,13001,5841,5818,13506,13506,487,487,7004,0
204,120000,1,2,2,26,0,0,0,0,0,0,107314,5000,110578,5000,113736,4152,116000,5000,119131,5000,122135,5000,0
205,360000,2,2,1,48,0,0,0,0,0,0,226430,9100,231878,7300,234192,5800,190211,5600,173557,5600,146511,4100,0
206,20000,1,3,1,43,-1,-1,0,0,0,0,227,22359,20351,1305,20237,1258,19339,1459,19450,3457,19337,1700,0
207,1.00E+05,1,1,1,47,-1,-1,-1,-1,-1,-1,390,1473,1473,390,390,390,390,390,390,0,0,2380,0
208,210000,2,2,1,41,-1,-1,-1,-1,-1,-1,3088,1586,1586,343,343,3763,3763,877,877,0,0,419,1
209,80000,2,2,2,24,0,0,0,0,0,0,81625,3200,81554,3000,79599,2038,49552,2000,49509,1800,49568,1800,1
210,330000,2,1,1,50,-1,-1,-1,-1,-2,-2,8872,4345,4337,2854,2854,1702,1690,0,0,1709,1709,258,0
211,220000,1,1,2,24,0,0,0,-1,-1,-1,105607,5000,108917,5050,111520,8303,8303,0,0,85632,85632,0,0
212,210000,2,1,1,38,1,-2,-1,0,-1,-1,0,0,0,250,250,0,123,789,789,1222,1222,9616,1
213,40000,2,3,1,43,0,0,0,0,0,0,38257,1700,38901,1504,38103,1200,36207,1500,33138,1500,31339,1000,0
214,30000,1,2,2,39,0,0,0,2,0,0,28347,3036,28108,2309,18388,0,12992,1000,7736,2000,8032,148,0
215,470000,1,2,2,27,2,2,2,2,0,0,296573,13000,303320,11001,307843,0,479978,10484,305145,10838,309959,10367,0
216,30000,1,3,1,42,-1,-1,-1,-1,-1,2,390,390,390,390,390,240,240,1470,1320,0,780,0,0
217,240000,2,2,1,36,1,-2,-2,-2,-2,-2,-946,0,-946,0,-946,0,-946,0,-946,0,-946,0,1
218,80000,1,2,2,36,2,0,0,0,0,0,79278,3100,78501,3500,78534,3400,80016,3000,76235,3500,78245,3000,0
