,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageYrBlt,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,bsmt_height,exterior_quality,exterior_condition,bsmt_condition,bsmt_exposure,bsmt_finished1,bsmt_finished2,BsmtFinishedShare,heating_quality,kitchen_quality,home_funct,fireplace_quality,fireplace_ttlscore,gar_qual,gar_cond,gar_perception,driveway,fence,full_baths,half_baths,average_quality,room_size,age,garage_perception,LogSalePrice
16,17,20,RL,,11241,Pave,,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,Gable,Wd Sdng,Wd Sdng,BrkFace,180.0,CBlock,578,0,426,1004,Y,SBrkr,1004,0,0,1004,1,0,2,1,5,1970.0,480,0,0,0,0,0,0,,700,3,2010,WD,Normal,149000,2,1,2,3,0,3,1,0.5756972111553784,4,1,7.0,2.0,2.0,3.0,2.0,6.0,3,0.0,2,0,-0.25787195961894177,200.8,40,3.0,11.911701584927597
17,18,90,RL,72.0,10791,Pave,,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,Gable,MetalSd,MetalSd,None,0.0,Slab,0,0,0,0,Y,SBrkr,1296,0,0,1296,2,0,2,2,6,1967.0,516,0,0,0,0,0,0,,500,10,2006,WD,Normal,90000,0,1,2,0,0,0,0,0.0,2,1,7.0,0.0,0.0,3.0,2.0,6.0,3,0.0,2,0,-1.476302370627336,216.0,39,2.0,11.407564949312402
18,19,20,RL,66.0,13695,Pave,,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,Gable,VinylSd,VinylSd,None,0.0,PConc,646,0,468,1114,Y,SBrkr,1114,0,0,1114,1,1,3,1,6,2004.0,576,0,102,0,0,0,0,,0,6,2008,WD,Normal,159000,2,1,2,3,0,4,1,0.5798922800718133,4,2,7.0,0.0,0.0,3.0,2.0,6.0,3,0.0,2,1,-0.10097635861065088,185.66666666666666,4,2.1666666666666665,11.976659481202368
19,20,20,RL,70.0,7560,Pave,,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1965,Hip,BrkFace,Plywood,None,0.0,CBlock,504,0,525,1029,Y,SBrkr,1339,0,0,1339,1,0,3,1,6,1958.0,294,0,0,0,0,0,0,,0,5,2009,COD,Abnorml,139000,2,1,2,3,0,1,1,0.4897959183673469,2,1,5.5,0.0,0.0,3.0,2.0,6.0,3,0.5,1,0,-0.8201994681396458,223.16666666666666,51,1.6666666666666667,11.842229212112828
20,21,60,RL,101.0,14215,Pave,,IR1,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2006,Gable,VinylSd,VinylSd,BrkFace,380.0,PConc,0,0,1158,1158,Y,SBrkr,1158,1218,0,2376,3,1,4,1,9,2005.0,853,240,154,0,0,0,0,,0,11,2006,New,Partial,325300,4,2,2,3,2,1,1,0.0,4,2,7.0,3.0,3.0,3.0,2.0,6.0,3,0.0,3,1,1.1958680296394903,264.0,1,3.5,12.692503112461443
21,22,45,RM,57.0,7449,Pave,Grvl,Reg,Bnk,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,PConc,0,0,637,637,Y,FuseF,1108,0,0,1108,1,0,3,1,6,1930.0,280,0,0,205,0,0,0,,0,6,2007,WD,Normal,139400,2,1,2,3,0,1,1,0.0,4,2,7.0,3.0,3.0,3.0,2.0,6.0,0,1.5,1,0,0.18974318591770772,184.66666666666666,77,1.6666666666666667,11.845102777308561
22,23,20,RL,75.0,9742,Pave,,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,Hip,VinylSd,VinylSd,BrkFace,281.0,PConc,0,0,1777,1777,Y,SBrkr,1795,0,0,1795,2,0,3,1,7,2002.0,534,171,159,0,0,0,0,,0,9,2008,WD,Normal,230000,3,2,2,3,0,1,1,0.0,4,2,7.0,3.0,3.0,3.0,2.0,6.0,3,0.0,2,0,0.9404964645277352,256.42857142857144,6,2.6666666666666665,12.345834587905333
23,24,120,RM,44.0,4224,Pave,,Reg,Lvl,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,Gable,CemntBd,CmentBd,None,0.0,PConc,840,0,200,1040,Y,SBrkr,1060,0,0,1060,1,0,3,1,6,1976.0,572,100,110,0,0,0,0,,0,6,2007,WD,Normal,129900,3,1,2,3,0,4,1,0.8076923076923077,2,1,7.0,2.0,2.0,3.0,2.0,6.0,3,0.0,2,0,-0.5648279030278904,176.66666666666666,31,2.3333333333333335,11.77452020265869
24,25,20,RL,,8246,Pave,,IR1,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,2001,Gable,Plywood,Plywood,None,0.0,CBlock,188,668,204,1060,Y,SBrkr,1060,0,0,1060,1,0,3,1,6,1968.0,270,406,90,0,0,0,0,,0,5,2010,WD,Normal,154000,2,1,3,3,1,2,3,0.8075471698113208,4,2,7.0,2.0,2.0,3.0,2.0,6.0,3,0.5,2,0,-0.10097635861065088,176.66666666666666,42,1.6666666666666667,11.944707881395766
25,26,20,RL,110.0,14230,Pave,,Reg,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,Gable,VinylSd,VinylSd,Stone,640.0,PConc,0,0,1566,1566,Y,SBrkr,1600,0,0,1600,2,0,3,1,7,2007.0,890,0,56,0,0,0,0,,0,7,2009,WD,Normal,256300,3,2,2,3,0,1,1,0.0,4,2,7.0,3.0,3.0,3.0,2.0,6.0,3,0.0,2,0,0.9404964645277352,228.57142857142858,2,3.3333333333333335,12.454103912352162
26,27,20,RL,60.0,7200,Pave,,Reg,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,2000,Gable,Wd Sdng,Wd Sdng,None,0.0,CBlock,234,486,180,900,Y,SBrkr,900,0,0,900,1,0,3,1,5,2005.0,576,222,32,0,0,0,0,,0,5,2010,WD,Normal,134800,2,1,2,3,1,2,2,0.8,2,2,7.0,0.0,0.0,3.0,2.0,6.0,3,0.0,1,1,-0.5179440948671756,180.0,59,2.1666666666666665,11.811547477460344
27,28,20,RL,98.0,11478,Pave,,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2008,Gable,VinylSd,VinylSd,Stone,200.0,PConc,1218,0,486,1704,Y,SBrkr,1704,0,0,1704,2,0,3,1,7,2008.0,772,0,50,0,0,0,0,,0,5,2010,WD,Normal,306000,4,2,2,3,0,4,1,0.7147887323943662,4,2,7.0,3.0,3.0,3.0,2.0,6.0,3,0.0,3,0,1.1958680296394903,243.42857142857142,3,3.3333333333333335,12.631340380934517
28,29,20,RL,47.0,16321,Pave,,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1997,Gable,MetalSd,MetalSd,None,0.0,CBlock,1277,0,207,1484,Y,SBrkr,1600,0,0,1600,1,0,2,1,6,1957.0,319,288,258,0,0,0,0,,0,12,2006,WD,Normal,207500,2,1,2,3,3,2,1,0.860512129380054,2,1,7.0,3.0,6.0,3.0,2.0,6.0,3,0.0,2,0,-0.8201994681396458,266.6666666666667,49,2.0,12.24288661865289
29,30,30,RM,60.0,6324,Pave,,IR1,Lvl,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1950,Gable,MetalSd,MetalSd,None,0.0,BrkTil,0,0,520,520,N,SBrkr,520,0,0,520,1,0,1,1,4,1920.0,240,49,0,87,0,0,0,,0,5,2008,WD,Normal,68500,2,1,2,3,0,1,1,0.0,1,0,7.0,0.0,0.0,2.0,2.0,4.0,3,0.0,1,0,-1.4762984818045577,130.0,81,1.5,11.134589024250317
30,31,70,C (all),50.0,8500,Pave,Pave,Reg,Lvl,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1950,Gambrel,BrkFace,BrkFace,None,0.0,BrkTil,0,0,649,649,N,SBrkr,649,668,0,1317,1,0,3,1,6,1920.0,250,0,54,172,0,0,0,,0,7,2008,WD,Normal,40000,2,1,1,3,0,1,1,0.0,2,1,7.0,0.0,0.0,3.0,1.5,4.5,0,0.5,1,0,-0.9655592404038252,219.5,88,1.5,10.596634733096073
31,32,20,RL,,8544,Pave,,IR1,Lvl,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,2006,Gable,HdBoard,HdBoard,None,0.0,CBlock,0,0,1228,1228,Y,SBrkr,1228,0,0,1228,1,1,3,1,6,1966.0,271,0,65,0,0,0,0,,0,6,2008,WD,Normal,149350,2,1,2,3,0,1,1,0.0,3,2,7.0,0.0,0.0,3.0,2.0,6.0,3,0.5,1,1,-0.3094602267389132,204.66666666666666,42,1.6666666666666667,11.914047823644255
32,33,20,RL,85.0,11049,Pave,,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,Gable,VinylSd,VinylSd,None,0.0,PConc,0,0,1234,1234,Y,SBrkr,1234,0,0,1234,2,0,3,1,7,2007.0,484,0,30,0,0,0,0,,0,1,2008,WD,Normal,179900,4,2,2,3,2,1,1,0.0,4,2,7.0,0.0,0.0,3.0,2.0,6.0,3,0.0,2,0,1.1958680296394903,176.28571428571428,1,2.6666666666666665,12.100156419938624
33,34,20,RL,70.0,10552,Pave,,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,Hip,BrkFace,BrkFace,None,0.0,CBlock,1018,0,380,1398,Y,SBrkr,1700,0,0,1700,1,1,4,1,6,1959.0,447,0,38,0,0,0,0,,0,4,2010,WD,Normal,165500,2,1,2,3,0,2,1,0.7281831187410587,3,2,7.0,3.0,3.0,3.0,2.0,6.0,3,0.0,1,2,-0.3094602267389132,283.3333333333333,51,2.6666666666666665,12.016726473799254
34,35,120,RL,60.0,7313,Pave,,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,Hip,MetalSd,MetalSd,BrkFace,246.0,PConc,1153,0,408,1561,Y,SBrkr,1561,0,0,1561,2,0,2,1,6,2005.0,556,203,47,0,0,0,0,,0,8,2007,WD,Normal,277500,4,3,2,3,0,4,1,0.7386290839205638,4,3,7.0,3.0,3.0,3.0,2.0,6.0,3,0.0,3,0,1.9935051164102329,260.1666666666667,2,3.0,12.533576212168626
35,36,60,RL,108.0,13418,Pave,,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,Gable,VinylSd,VinylSd,Stone,132.0,PConc,0,0,1117,1117,Y,SBrkr,1132,1320,0,2452,3,1,4,1,9,2004.0,691,113,32,0,0,0,0,,0,9,2006,WD,Normal,309000,4,2,2,3,2,1,1,0.0,4,2,7.0,3.0,3.0,3.0,2.0,6.0,3,0.0,3,1,1.1958680296394903,272.44444444444446,2,3.8333333333333335,12.641096555879882
36,37,20,RL,112.0,10859,Pave,,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1995,Gable,VinylSd,VinylSd,None,0.0,PConc,0,0,1097,1097,Y,SBrkr,1097,0,0,1097,1,1,3,1,6,1995.0,672,392,64,0,0,0,0,,0,6,2009,WD,Normal,145000,3,1,2,3,0,1,1,0.0,4,1,7.0,0.0,0.0,3.0,2.0,6.0,3,0.0,1,1,-0.14786016677136574,182.83333333333334,15,2.3333333333333335,11.884489021402711
37,38,20,RL,74.0,8532,Pave,,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1990,Hip,Wd Sdng,Wd Sdng,BrkFace,650.0,CBlock,1213,0,84,1297,Y,SBrkr,1297,0,0,1297,1,0,3,1,5,1954.0,498,0,0,0,0,0,0,,0,10,2009,WD,Normal,153000,2,1,2,3,0,2,1,0.9352351580570547,3,1,7.0,2.0,2.0,3.0,2.0,6.0,3,0.0,1,1,-0.6117156000113834,259.4,55,3.0,11.938193200374572
38,39,20,RL,68.0,7922,Pave,,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,2007,Gable,VinylSd,VinylSd,None,0.0,CBlock,731,0,326,1057,Y,SBrkr,1057,0,0,1057,1,0,3,1,5,1953.0,246,0,52,0,0,0,0,,0,1,2010,WD,Abnorml,109000,2,1,3,3,0,4,1,0.6915799432355724,2,2,7.0,0.0,0.0,3.0,2.0,6.0,3,0.0,2,0,-0.5179440948671756,211.4,57,1.5,11.59910316121128
39,40,90,RL,65.0,6040,Pave,,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,Gable,AsbShng,Plywood,None,0.0,PConc,0,0,0,0,N,FuseP,1152,0,0,1152,2,0,2,2,6,,0,0,0,0,0,0,0,,0,6,2008,WD,AdjLand,82000,0,1,2,0,0,0,0,0.0,2,0,7.0,0.0,0.0,3.0,2.0,6.0,0,0.0,2,0,-1.7785577438998061,192.0,53,0.0,11.314474526246391
40,41,20,RL,84.0,8658,Pave,,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,Gable,Wd Sdng,Wd Sdng,BrkFace,101.0,CBlock,643,0,445,1088,Y,SBrkr,1324,0,0,1324,2,0,3,1,6,1965.0,440,0,138,0,0,0,0,,0,12,2006,WD,Abnorml,160000,2,1,2,3,0,2,1,0.5909926470588236,4,1,7.0,2.0,2.0,3.0,2.0,6.0,3,1.5,2,0,-0.25787195961894177,220.66666666666666,41,2.6666666666666665,11.982929094215963
41,42,20,RL,115.0,16905,Pave,,Reg,Lvl,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,Gable,VinylSd,VinylSd,None,0.0,CBlock,967,0,383,1350,Y,SBrkr,1328,0,0,1328,1,1,2,1,5,1959.0,308,0,104,0,0,0,0,,0,7,2007,WD,Normal,170000,2,1,3,3,3,2,1,0.7162962962962963,3,1,7.0,3.0,6.0,3.0,2.0,6.0,2,0.0,1,2,-0.6117156000113834,265.6,48,2.0,12.043553716032399
42,43,85,RL,,9180,Pave,,IR1,Lvl,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,Gable,HdBoard,HdBoard,None,0.0,CBlock,747,93,0,840,Y,SBrkr,884,0,0,884,1,0,2,1,5,1983.0,504,240,0,0,0,0,0,,0,12,2007,WD,Normal,144000,3,1,2,3,2,3,1,1.0,3,2,7.0,0.0,0.0,3.0,2.5,7.5,3,0.5,2,0,-0.05408866162715782,176.8,24,2.6666666666666665,11.877568578558138
43,44,20,RL,,9200,Pave,,IR1,Lvl,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1980,Hip,VinylSd,VinylSd,None,0.0,CBlock,280,491,167,938,Y,SBrkr,938,0,0,938,1,0,3,1,5,1977.0,308,145,0,0,0,0,0,,0,7,2008,WD,Normal,130250,3,1,2,3,2,1,2,0.8219616204690832,2,1,7.0,0.0,0.0,3.0,2.0,6.0,3,0.5,2,0,-0.5648279030278904,187.6,33,1.5,11.777210959615614
44,45,20,RL,70.0,7945,Pave,,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,Gable,BrkFace,Wd Sdng,None,0.0,CBlock,179,506,465,1150,Y,FuseA,1150,0,0,1150,1,0,3,1,6,1959.0,300,0,0,0,0,0,0,,0,5,2006,WD,Normal,141000,2,1,2,3,0,3,2,0.5956521739130435,4,1,7.0,0.0,0.0,3.0,2.0,6.0,3,0.0,2,0,-0.4032317318831211,191.66666666666666,47,2.0,11.856515169360305
45,46,120,RL,61.0,7658,Pave,,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,Hip,MetalSd,MetalSd,BrkFace,412.0,PConc,456,0,1296,1752,Y,SBrkr,1752,0,0,1752,2,0,2,1,6,2005.0,576,196,82,0,0,0,0,,0,2,2010,WD,Normal,319900,4,3,2,3,0,4,1,0.26027397260273977,4,3,7.0,3.0,3.0,3.0,2.0,6.0,3,0.0,3,0,1.9935051164102329,292.0,5,2.6666666666666665,12.675763725937609
46,47,50,RL,48.0,12822,Pave,,IR1,Lvl,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,Gable,VinylSd,VinylSd,None,0.0,PConc,1351,0,83,1434,Y,SBrkr,1518,631,0,2149,1,1,1,1,6,2003.0,670,168,43,0,0,198,0,,0,8,2009,WD,Abnorml,239686,4,2,2,3,0,4,1,0.9421199442119944,4,2,7.0,3.5,3.5,3.0,2.0,6.0,3,0.0,2,1,1.0505082573753113,358.1666666666667,6,2.6666666666666665,12.387085012375499
47,48,20,FV,84.0,11096,Pave,,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,Gable,VinylSd,VinylSd,None,0.0,PConc,24,0,1632,1656,Y,SBrkr,1656,0,0,1656,2,0,3,1,7,2006.0,826,0,146,0,0,0,0,,0,7,2007,WD,Normal,249700,3,2,2,3,2,4,1,0.01449275362318836,4,2,7.0,0.0,0.0,3.0,2.0,6.0,3,0.0,2,0,0.9404964645277352,236.57142857142858,1,3.3333333333333335,12.428015476267865
