,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageYrBlt,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,bsmt_height,exterior_quality,exterior_condition,bsmt_condition,bsmt_exposure,bsmt_finished1,bsmt_finished2,BsmtFinishedShare,heating_quality,kitchen_quality,home_funct,fireplace_quality,fireplace_ttlscore,gar_qual,gar_cond,gar_perception,driveway,fence,full_baths,half_baths,average_quality,room_size,age,garage_perception,LogSalePrice
10,11,20,RL,70,11200,Pave,,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,Hip,HdBoard,HdBoard,None,0,CBlock,906,0,134,1040,Y,SBrkr,1040,0,0,1040,1,0,3,1,5,1965,384,0,0,0,0,0,0,,0,2,2008,WD,Normal,129500,2,1,2,3,0,2,1,0.871153846,4,1,7,0,0,3,2,6,3,0,2,0,-0.403231732,208,43,1.5,11.77143616
11,12,60,RL,85,11924,Pave,,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2006,Hip,WdShing,Wd Shng,Stone,286,PConc,998,0,177,1175,Y,SBrkr,1182,1142,0,2324,3,0,4,1,11,2005,736,147,21,0,0,0,0,,0,7,2006,New,Partial,345000,4,3,2,3,0,4,1,0.849361702,4,3,7,3,6,3,2,6,3,0,4,0,1.993505116,211.2727273,1,3.833333333,12.7512997
12,13,20,RL,69.79,12968,Pave,,IR2,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,Hip,HdBoard,Plywood,None,0,CBlock,737,0,175,912,Y,SBrkr,912,0,0,912,1,0,2,1,4,1962,352,140,0,0,0,176,0,,0,9,2008,WD,Normal,144000,2,1,2,3,0,3,1,0.808114035,2,1,7,0,0,3,2,6,3,0,2,0,-0.820199468,228,46,1.5,11.87756858
13,14,20,RL,91,10652,Pave,,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,Gable,VinylSd,VinylSd,Stone,306,PConc,0,0,1494,1494,Y,SBrkr,1494,0,0,1494,2,0,3,1,7,2006,840,160,33,0,0,0,0,,0,8,2007,New,Partial,279500,3,2,2,3,2,1,1,0,4,2,7,3,3,3,2,6,3,0,2,0,0.795136692,213.4285714,1,3.333333333,12.54075757
14,15,20,RL,69.79,10920,Pave,,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,Hip,MetalSd,MetalSd,BrkFace,212,CBlock,733,0,520,1253,Y,SBrkr,1253,0,0,1253,1,1,2,1,5,1960,352,0,213,176,0,0,0,,0,5,2008,WD,Normal,157000,2,1,2,3,0,2,1,0.58499601,2,1,7,1,1,3,2,6,3,1.5,2,1,-0.674839696,250.6,48,2,11.96400108
15,16,45,RM,51,6120,Pave,,Reg,Lvl,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,2001,Gable,Wd Sdng,Wd Sdng,None,0,BrkTil,0,0,832,832,Y,FuseA,854,0,0,854,1,0,2,1,5,1991,576,48,112,0,0,0,0,,0,7,2007,WD,Normal,132000,2,1,2,3,0,1,1,0,4,1,7,0,0,3,2,6,3,1.5,1,0,-0.112512187,170.8,78,2.166666667,11.7905572
16,17,20,RL,69.79,11241,Pave,,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,Gable,Wd Sdng,Wd Sdng,BrkFace,180,CBlock,578,0,426,1004,Y,SBrkr,1004,0,0,1004,1,0,2,1,5,1970,480,0,0,0,0,0,0,,700,3,2010,WD,Normal,149000,2,1,2,3,0,3,1,0.575697211,4,1,7,2,2,3,2,6,3,0,2,0,-0.25787196,200.8,40,3,11.91170158
17,18,90,RL,72,10791,Pave,,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,Gable,MetalSd,MetalSd,None,0,Slab,0,0,0,0,Y,SBrkr,1296,0,0,1296,2,0,2,2,6,1967,516,0,0,0,0,0,0,,500,10,2006,WD,Normal,90000,0,1,2,0,0,0,0,0,2,1,7,0,0,3,2,6,3,0,2,0,-1.476302371,216,39,2,11.40756495
18,19,20,RL,66,13695,Pave,,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,Gable,VinylSd,VinylSd,None,0,PConc,646,0,468,1114,Y,SBrkr,1114,0,0,1114,1,1,3,1,6,2004,576,0,102,0,0,0,0,,0,6,2008,WD,Normal,159000,2,1,2,3,0,4,1,0.57989228,4,2,7,0,0,3,2,6,3,0,2,1,-0.100976359,185.6666667,4,2.166666667,11.97665948
19,20,20,RL,70,7560,Pave,,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1965,Hip,BrkFace,Plywood,None,0,CBlock,504,0,525,1029,Y,SBrkr,1339,0,0,1339,1,0,3,1,6,1958,294,0,0,0,0,0,0,,0,5,2009,COD,Abnorml,139000,2,1,2,3,0,1,1,0.489795918,2,1,5.5,0,0,3,2,6,3,0.5,1,0,-0.820199468,223.1666667,51,1.666666667,11.84222921
20,21,60,RL,101,14215,Pave,,IR1,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2006,Gable,VinylSd,VinylSd,BrkFace,380,PConc,0,0,1158,1158,Y,SBrkr,1158,1218,0,2376,3,1,4,1,9,2005,853,240,154,0,0,0,0,,0,11,2006,New,Partial,325300,4,2,2,3,2,1,1,0,4,2,7,3,3,3,2,6,3,0,3,1,1.19586803,264,1,3.5,12.69250311
21,22,45,RM,57,7449,Pave,Grvl,Reg,Bnk,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1950,Gable,Wd Sdng,Wd Sdng,None,0,PConc,0,0,637,637,Y,FuseF,1108,0,0,1108,1,0,3,1,6,1930,280,0,0,205,0,0,0,,0,6,2007,WD,Normal,139400,2,1,2,3,0,1,1,0,4,2,7,3,3,3,2,6,0,1.5,1,0,0.189743186,184.6666667,77,1.666666667,11.84510278
22,23,20,RL,75,9742,Pave,,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,Hip,VinylSd,VinylSd,BrkFace,281,PConc,0,0,1777,1777,Y,SBrkr,1795,0,0,1795,2,0,3,1,7,2002,534,171,159,0,0,0,0,,0,9,2008,WD,Normal,230000,3,2,2,3,0,1,1,0,4,2,7,3,3,3,2,6,3,0,2,0,0.940496465,256.4285714,6,2.666666667,12.34583459
23,24,120,RM,44,4224,Pave,,Reg,Lvl,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,Gable,CemntBd,CmentBd,None,0,PConc,840,0,200,1040,Y,SBrkr,1060,0,0,1060,1,0,3,1,6,1976,572,100,110,0,0,0,0,,0,6,2007,WD,Normal,129900,3,1,2,3,0,4,1,0.807692308,2,1,7,2,2,3,2,6,3,0,2,0,-0.564827903,176.6666667,31,2.333333333,11.7745202
24,25,20,RL,69.79,8246,Pave,,IR1,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,2001,Gable,Plywood,Plywood,None,0,CBlock,188,668,204,1060,Y,SBrkr,1060,0,0,1060,1,0,3,1,6,1968,270,406,90,0,0,0,0,,0,5,2010,WD,Normal,154000,2,1,3,3,1,2,3,0.80754717,4,2,7,2,2,3,2,6,3,0.5,2,0,-0.100976359,176.6666667,42,1.666666667,11.94470788
25,26,20,RL,110,14230,Pave,,Reg,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,Gable,VinylSd,VinylSd,Stone,640,PConc,0,0,1566,1566,Y,SBrkr,1600,0,0,1600,2,0,3,1,7,2007,890,0,56,0,0,0,0,,0,7,2009,WD,Normal,256300,3,2,2,3,0,1,1,0,4,2,7,3,3,3,2,6,3,0,2,0,0.940496465,228.5714286,2,3.333333333,12.45410391
26,27,20,RL,60,7200,Pave,,Reg,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,2000,Gable,Wd Sdng,Wd Sdng,None,0,CBlock,234,486,180,900,Y,SBrkr,900,0,0,900,1,0,3,1,5,2005,576,222,32,0,0,0,0,,0,5,2010,WD,Normal,134800,2,1,2,3,1,2,2,0.8,2,2,7,0,0,3,2,6,3,0,1,1,-0.517944095,180,59,2.166666667,11.81154748
27,28,20,RL,98,11478,Pave,,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2008,Gable,VinylSd,VinylSd,Stone,200,PConc,1218,0,486,1704,Y,SBrkr,1704,0,0,1704,2,0,3,1,7,2008,772,0,50,0,0,0,0,,0,5,2010,WD,Normal,306000,4,2,2,3,0,4,1,0.714788732,4,2,7,3,3,3,2,6,3,0,3,0,1.19586803,243.4285714,3,3.333333333,12.63134038
28,29,20,RL,47,16321,Pave,,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1997,Gable,MetalSd,MetalSd,None,0,CBlock,1277,0,207,1484,Y,SBrkr,1600,0,0,1600,1,0,2,1,6,1957,319,288,258,0,0,0,0,,0,12,2006,WD,Normal,207500,2,1,2,3,3,2,1,0.860512129,2,1,7,3,6,3,2,6,3,0,2,0,-0.820199468,266.6666667,49,2,12.24288662
29,30,30,RM,60,6324,Pave,,IR1,Lvl,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1950,Gable,MetalSd,MetalSd,None,0,BrkTil,0,0,520,520,N,SBrkr,520,0,0,520,1,0,1,1,4,1920,240,49,0,87,0,0,0,,0,5,2008,WD,Normal,68500,2,1,2,3,0,1,1,0,1,0,7,0,0,2,2,4,3,0,1,0,-1.476298482,130,81,1.5,11.13458902
30,31,70,C (all),50,8500,Pave,Pave,Reg,Lvl,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1950,Gambrel,BrkFace,BrkFace,None,0,BrkTil,0,0,649,649,N,SBrkr,649,668,0,1317,1,0,3,1,6,1920,250,0,54,172,0,0,0,,0,7,2008,WD,Normal,40000,2,1,1,3,0,1,1,0,2,1,7,0,0,3,1.5,4.5,0,0.5,1,0,-0.96555924,219.5,88,1.5,10.59663473
31,32,20,RL,69.79,8544,Pave,,IR1,Lvl,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,2006,Gable,HdBoard,HdBoard,None,0,CBlock,0,0,1228,1228,Y,SBrkr,1228,0,0,1228,1,1,3,1,6,1966,271,0,65,0,0,0,0,,0,6,2008,WD,Normal,149350,2,1,2,3,0,1,1,0,3,2,7,0,0,3,2,6,3,0.5,1,1,-0.309460227,204.6666667,42,1.666666667,11.91404782
32,33,20,RL,85,11049,Pave,,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,Gable,VinylSd,VinylSd,None,0,PConc,0,0,1234,1234,Y,SBrkr,1234,0,0,1234,2,0,3,1,7,2007,484,0,30,0,0,0,0,,0,1,2008,WD,Normal,179900,4,2,2,3,2,1,1,0,4,2,7,0,0,3,2,6,3,0,2,0,1.19586803,176.2857143,1,2.666666667,12.10015642
33,34,20,RL,70,10552,Pave,,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,Hip,BrkFace,BrkFace,None,0,CBlock,1018,0,380,1398,Y,SBrkr,1700,0,0,1700,1,1,4,1,6,1959,447,0,38,0,0,0,0,,0,4,2010,WD,Normal,165500,2,1,2,3,0,2,1,0.728183119,3,2,7,3,3,3,2,6,3,0,1,2,-0.309460227,283.3333333,51,2.666666667,12.01672647
34,35,120,RL,60,7313,Pave,,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,Hip,MetalSd,MetalSd,BrkFace,246,PConc,1153,0,408,1561,Y,SBrkr,1561,0,0,1561,2,0,2,1,6,2005,556,203,47,0,0,0,0,,0,8,2007,WD,Normal,277500,4,3,2,3,0,4,1,0.738629084,4,3,7,3,3,3,2,6,3,0,3,0,1.993505116,260.1666667,2,3,12.53357621
35,36,60,RL,108,13418,Pave,,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,Gable,VinylSd,VinylSd,Stone,132,PConc,0,0,1117,1117,Y,SBrkr,1132,1320,0,2452,3,1,4,1,9,2004,691,113,32,0,0,0,0,,0,9,2006,WD,Normal,309000,4,2,2,3,2,1,1,0,4,2,7,3,3,3,2,6,3,0,3,1,1.19586803,272.4444444,2,3.833333333,12.64109656
36,37,20,RL,112,10859,Pave,,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1995,Gable,VinylSd,VinylSd,None,0,PConc,0,0,1097,1097,Y,SBrkr,1097,0,0,1097,1,1,3,1,6,1995,672,392,64,0,0,0,0,,0,6,2009,WD,Normal,145000,3,1,2,3,0,1,1,0,4,1,7,0,0,3,2,6,3,0,1,1,-0.147860167,182.8333333,15,2.333333333,11.88448902
37,38,20,RL,74,8532,Pave,,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1990,Hip,Wd Sdng,Wd Sdng,BrkFace,650,CBlock,1213,0,84,1297,Y,SBrkr,1297,0,0,1297,1,0,3,1,5,1954,498,0,0,0,0,0,0,,0,10,2009,WD,Normal,153000,2,1,2,3,0,2,1,0.935235158,3,1,7,2,2,3,2,6,3,0,1,1,-0.6117156,259.4,55,3,11.9381932
38,39,20,RL,68,7922,Pave,,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,2007,Gable,VinylSd,VinylSd,None,0,CBlock,731,0,326,1057,Y,SBrkr,1057,0,0,1057,1,0,3,1,5,1953,246,0,52,0,0,0,0,,0,1,2010,WD,Abnorml,109000,2,1,3,3,0,4,1,0.691579943,2,2,7,0,0,3,2,6,3,0,2,0,-0.517944095,211.4,57,1.5,11.59910316
39,40,90,RL,65,6040,Pave,,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,Gable,AsbShng,Plywood,None,0,PConc,0,0,0,0,N,FuseP,1152,0,0,1152,2,0,2,2,6,,0,0,0,0,0,0,0,,0,6,2008,WD,AdjLand,82000,0,1,2,0,0,0,0,0,2,0,7,0,0,3,2,6,0,0,2,0,-1.778557744,192,53,0,11.31447453
40,41,20,RL,84,8658,Pave,,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,Gable,Wd Sdng,Wd Sdng,BrkFace,101,CBlock,643,0,445,1088,Y,SBrkr,1324,0,0,1324,2,0,3,1,6,1965,440,0,138,0,0,0,0,,0,12,2006,WD,Abnorml,160000,2,1,2,3,0,2,1,0.590992647,4,1,7,2,2,3,2,6,3,1.5,2,0,-0.25787196,220.6666667,41,2.666666667,11.98292909
41,42,20,RL,115,16905,Pave,,Reg,Lvl,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,Gable,VinylSd,VinylSd,None,0,CBlock,967,0,383,1350,Y,SBrkr,1328,0,0,1328,1,1,2,1,5,1959,308,0,104,0,0,0,0,,0,7,2007,WD,Normal,170000,2,1,3,3,3,2,1,0.716296296,3,1,7,3,6,3,2,6,2,0,1,2,-0.6117156,265.6,48,2,12.04355372
42,43,85,RL,69.79,9180,Pave,,IR1,Lvl,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,Gable,HdBoard,HdBoard,None,0,CBlock,747,93,0,840,Y,SBrkr,884,0,0,884,1,0,2,1,5,1983,504,240,0,0,0,0,0,,0,12,2007,WD,Normal,144000,3,1,2,3,2,3,1,1,3,2,7,0,0,3,2.5,7.5,3,0.5,2,0,-0.054088662,176.8,24,2.666666667,11.87756858
43,44,20,RL,69.79,9200,Pave,,IR1,Lvl,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1980,Hip,VinylSd,VinylSd,None,0,CBlock,280,491,167,938,Y,SBrkr,938,0,0,938,1,0,3,1,5,1977,308,145,0,0,0,0,0,,0,7,2008,WD,Normal,130250,3,1,2,3,2,1,2,0.82196162,2,1,7,0,0,3,2,6,3,0.5,2,0,-0.564827903,187.6,33,1.5,11.77721096
44,45,20,RL,70,7945,Pave,,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,Gable,BrkFace,Wd Sdng,None,0,CBlock,179,506,465,1150,Y,FuseA,1150,0,0,1150,1,0,3,1,6,1959,300,0,0,0,0,0,0,,0,5,2006,WD,Normal,141000,2,1,2,3,0,3,2,0.595652174,4,1,7,0,0,3,2,6,3,0,2,0,-0.403231732,191.6666667,47,2,11.85651517
45,46,120,RL,61,7658,Pave,,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,Hip,MetalSd,MetalSd,BrkFace,412,PConc,456,0,1296,1752,Y,SBrkr,1752,0,0,1752,2,0,2,1,6,2005,576,196,82,0,0,0,0,,0,2,2010,WD,Normal,319900,4,3,2,3,0,4,1,0.260273973,4,3,7,3,3,3,2,6,3,0,3,0,1.993505116,292,5,2.666666667,12.67576373
46,47,50,RL,48,12822,Pave,,IR1,Lvl,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,Gable,VinylSd,VinylSd,None,0,PConc,1351,0,83,1434,Y,SBrkr,1518,631,0,2149,1,1,1,1,6,2003,670,168,43,0,0,198,0,,0,8,2009,WD,Abnorml,239686,4,2,2,3,0,4,1,0.942119944,4,2,7,3.5,3.5,3,2,6,3,0,2,1,1.050508257,358.1666667,6,2.666666667,12.38708501
47,48,20,FV,84,11096,Pave,,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,Gable,VinylSd,VinylSd,None,0,PConc,24,0,1632,1656,Y,SBrkr,1656,0,0,1656,2,0,3,1,7,2006,826,0,146,0,0,0,0,,0,7,2007,WD,Normal,249700,3,2,2,3,2,4,1,0.014492754,4,2,7,0,0,3,2,6,3,0,2,0,0.940496465,236.5714286,1,3.333333333,12.42801548
48,49,190,RM,33,4456,Pave,,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,2008,Gable,MetalSd,MetalSd,None,0,BrkTil,0,0,736,736,Y,SBrkr,736,716,0,1452,2,0,2,3,8,,0,0,0,102,0,0,0,,0,6,2009,New,Partial,113000,2,1,2,3,0,1,1,0,3,1,7,0,0,3,2,6,0,0,2,0,-0.757075372,181.5,89,0,11.6351431
49,50,20,RL,66,7742,Pave,,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,Gable,HdBoard,HdBoard,None,0,CBlock,763,0,192,955,Y,SBrkr,955,0,0,955,1,0,3,1,6,1966,386,0,0,0,0,0,0,,0,1,2007,WD,Normal,127000,2,1,2,3,0,2,1,0.79895288,4,1,7,0,0,3,2,6,3,0.5,2,0,-0.403231732,159.1666667,41,1.666666667,11.75194237
50,51,60,RL,69.79,13869,Pave,,IR2,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,Gable,VinylSd,VinylSd,None,0,PConc,182,0,612,794,Y,SBrkr,794,676,0,1470,2,0,3,1,6,1997,388,0,75,0,0,0,0,,0,7,2007,WD,Normal,177000,3,1,2,3,2,4,1,0.229219144,3,1,7,0,0,3,2,6,3,0,2,1,-0.210984263,245,10,3,12.08390501
51,52,50,RM,52,6240,Pave,,Reg,Lvl,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1950,Gable,Wd Sdng,Wd Sdng,None,0,PConc,0,0,816,816,Y,SBrkr,816,0,360,1176,1,0,3,1,6,1985,528,112,0,0,0,0,0,,400,9,2006,WD,Normal,114500,2,1,2,3,0,1,1,0,2,1,7,3,3,3,2,6,3,0.5,1,0,-0.674839696,196,72,2.166666667,11.6483301
52,53,90,RM,110,8472,Grvl,,IR2,Bnk,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,Gable,Wd Sdng,Wd Sdng,None,0,CBlock,104,712,0,816,N,SBrkr,816,0,0,816,1,0,2,1,5,1963,516,106,0,0,0,0,0,,0,5,2010,WD,Normal,110000,3,0,2,3,3,1,4,1,2,1,7,0,0,3,2,6,3,0,2,0,-0.914849844,163.2,47,2,11.60823564
53,54,20,RL,68,50271,Pave,,IR1,Low,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,9,5,1987,Gable,WdShing,Wd Shng,None,0,CBlock,1810,0,32,1842,Y,SBrkr,1842,0,0,1842,0,1,0,1,5,1981,894,857,72,0,0,0,0,,0,11,2006,WD,Normal,385000,4,2,2,3,3,4,1,0.982627579,3,2,7,3,3,3,2,6,3,0,2,1,1.132743934,368.4,25,3.666666667,12.86099861
54,55,80,RL,60,7134,Pave,,Reg,Bnk,Inside,Mod,NAmes,Norm,Norm,1Fam,SLvl,5,5,1955,Gable,MetalSd,MetalSd,None,0,CBlock,384,0,0,384,Y,SBrkr,1360,0,0,1360,1,0,3,1,6,1962,572,0,50,0,0,0,0,,0,2,2007,WD,Normal,130000,2,1,2,3,0,3,1,1,2,1,5.5,2,2,3,2,6,3,0.5,1,0,-0.820199468,226.6666667,52,2.166666667,11.77528973
